,type,layered_top
0,sweatshirt,0
1,hoodie,0
2,sweater,0
3,cardigan,1
4,t-shirt,0
5,long_sleeve_t-shirt,0
6,polo,0
7,short_sleeve_shirt,0
8,long_sleeve_shirt,1
9,denim_shirt,1
10,linen_shirt,1
11,turtleneck,0
12,blazer,1
13,vest,1
